Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2
1470,9,0.75,227.4,59095.97,72.47,6158.6,223776.98
1480,9,0.75,227.36,59023.5,72.47,6157.67,223786.97
1490,9,0.75,227.32,58951.02,72.47,6156.74,223796.98
1500,9,0.75,227.28,58878.55,72.48,6155.81,223806.99
1510,9,0.75,227.24,58806.07,72.48,6154.88,223817.0
1520,9,0.75,227.2,58733.58,72.48,6153.95,223827.03
1530,9,0.75,227.16,58661.1,72.49,6153.02,223837.06
1540,9,0.75,227.12,58588.61,72.49,6152.09,223847.1
1550,9,0.75,227.08,58516.12,72.49,6151.16,223857.14
1560,9,0.75,227.04,58443.62,72.5,6150.23,223867.2
1570,9,0.75,227.0,58371.12,72.5,6149.3,223877.26
1580,9,0.75,226.95,58298.62,72.5,6148.37,223887.32
1590,9,0.75,226.91,58226.11,72.51,6147.44,223897.4
1600,9,0.75,226.87,58153.6,72.51,6146.51,223907.48
1610,9,0.75,226.83,58081.09,72.51,6145.58,223917.57
1620,9,0.75,226.79,58008.58,72.52,6144.66,223927.67
1630,9,0.75,226.75,57936.06,72.52,6143.73,223937.77
1640,9,0.75,226.71,57863.54,72.52,6142.8,223947.88
1650,9,0.75,226.67,57791.01,72.53,6141.87,223958.0
1660,9,0.75,226.63,57718.48,72.53,6140.95,223968.12
1670,9,0.75,226.59,57645.95,72.53,6140.02,223978.26
1680,9,0.75,226.55,57573.42,72.54,6139.09,223988.4
1690,9,0.75,226.51,57500.88,72.54,6138.17,223998.54
1700,9,0.75,226.47,57428.34,72.54,6137.24,224008.7
1710,9,0.75,226.43,57355.79,72.54,6136.32,224018.86
1720,9,0.75,226.39,57283.24,72.55,6135.39,224029.03
1730,9,0.75,226.35,57210.69,72.55,6134.47,224039.2
1740,9,0.75,226.31,57138.14,72.55,6133.54,224049.39
1750,9,0.74,226.27,57065.58,72.56,6132.62,224059.58
1760,9,0.74,226.23,56993.02,72.56,6131.69,224069.78
1770,9,0.74,226.19,56920.45,72.56,6130.77,224079.98
1780,9,0.74,226.15,56847.88,72.57,6129.85,224090.19
1790,9,0.74,226.11,56775.31,72.57,6128.92,224100.41
1800,9,0.74,226.07,56702.74,72.57,6128.0,224110.64
1810,9,0.74,226.03,56630.16,72.58,6127.08,224120.88
1820,9,0.74,225.99,56557.58,72.58,6126.16,224131.12
1830,9,0.74,225.95,56484.99,72.58,6125.23,224141.37
1840,9,0.74,225.91,56412.41,72.59,6124.31,224151.63
1850,9,0.74,225.86,56339.81,72.59,6123.39,224161.89
1860,9,0.74,225.82,56267.22,72.59,6122.47,224172.16
1870,9,0.74,225.78,56194.62,72.6,6121.55,224182.44
1880,9,0.74,225.74,56122.02,72.6,6120.63,224192.73
1890,9,0.74,225.7,56049.42,72.6,6119.71,224203.02
1900,9,0.74,225.66,55976.81,72.61,6118.79,224213.33
1910,9,0.74,225.62,55904.2,72.61,6117.87,224223.63
1920,9,0.74,225.58,55831.58,72.61,6116.95,224233.95
1930,9,0.74,225.54,55758.96,72.62,6116.03,224244.28
1940,9,0.74,225.5,55686.34,72.62,6115.11,224254.61
1950,9,0.74,225.46,55613.72,72.62,6114.19,224264.95
1960,9,0.74,225.42,55541.09,72.63,6113.27,224275.29
1970,9,0.74,225.38,55468.46,72.63,6112.35,224285.65
1980,9,0.74,225.34,55395.82,72.63,6111.43,224296.01
1990,9,0.74,225.3,55323.19,72.64,6110.52,224306.38
2000,9,0.74,225.26,55250.54,72.64,6109.6,224316.75
2010,9,0.74,225.22,55177.9,72.64,6108.68,224327.14
2020,9,0.74,225.17,55105.25,72.65,6107.77,224337.53
2030,9,0.74,225.13,55032.6,72.65,6106.85,224347.93
2040,9,0.74,225.09,54959.94,72.65,6105.93,224358.34
2050,9,0.74,225.05,54887.29,72.66,6105.02,224368.75
2060,9,0.74,225.01,54814.63,72.66,6104.1,224379.17
2070,9,0.74,224.97,54741.96,72.67,6103.18,224389.6
2080,9,0.74,224.93,54669.29,72.67,6102.27,224400.04
2090,9,0.74,224.89,54596.62,72.67,6101.35,224410.48
2100,9,0.74,224.85,54523.94,72.68,6100.44,224420.94
2110,9,0.74,224.81,54451.27,72.68,6099.53,224431.4
2120,9,0.74,224.77,54378.58,72.68,6098.61,224441.86
2130,9,0.74,224.73,54305.9,72.69,6097.7,224452.34
2140,9,0.74,224.69,54233.21,72.69,6096.78,224462.82
2150,9,0.74,224.65,54160.52,72.69,6095.87,224473.31
2160,9,0.74,224.6,54087.82,72.7,6094.96,224483.81
