Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2
3160,9.5,0.75,227.39,47012.79,72.34,5731.56,223377.39
3170,9.5,0.75,227.35,46940.44,72.34,5730.64,223387.86
3180,9.5,0.75,227.31,46868.1,72.34,5729.72,223398.33
3190,9.5,0.75,227.26,46795.75,72.35,5728.8,223408.82
3200,9.5,0.75,227.22,46723.4,72.35,5727.87,223419.31
3210,9.5,0.75,227.18,46651.05,72.35,5726.95,223429.81
3220,9.5,0.75,227.14,46578.69,72.36,5726.03,223440.32
3230,9.5,0.75,227.09,46506.33,72.36,5725.11,223450.84
3240,9.5,0.75,227.05,46433.97,72.36,5724.19,223461.36
3250,9.5,0.75,227.01,46361.6,72.37,5723.27,223471.89
3260,9.5,0.75,226.97,46289.23,72.37,5722.35,223482.43
3270,9.5,0.75,226.92,46216.85,72.37,5721.43,223492.98
3280,9.5,0.75,226.88,46144.47,72.38,5720.51,223503.54
3290,9.5,0.75,226.84,46072.09,72.38,5719.59,223514.11
3300,9.5,0.75,226.8,45999.71,72.38,5718.67,223524.68
3310,9.5,0.75,226.75,45927.32,72.39,5717.75,223535.26
3320,9.5,0.75,226.71,45854.93,72.39,5716.84,223545.85
3330,9.5,0.75,226.67,45782.53,72.4,5715.92,223556.44
3340,9.5,0.75,226.62,45710.13,72.4,5715.0,223567.05
3350,9.5,0.75,226.58,45637.73,72.4,5714.08,223577.66
3360,9.5,0.75,226.54,45565.33,72.41,5713.16,223588.28
3370,9.5,0.75,226.5,45492.92,72.41,5712.25,223598.91
3380,9.5,0.75,226.45,45420.5,72.41,5711.33,223609.55
3390,9.5,0.75,226.41,45348.09,72.42,5710.42,223620.2
3400,9.5,0.75,226.37,45275.67,72.42,5709.5,223630.85
3410,9.5,0.75,226.32,45203.25,72.42,5708.58,223641.51
3420,9.5,0.75,226.28,45130.82,72.43,5707.67,223652.18
3430,9.5,0.75,226.24,45058.39,72.43,5706.75,223662.86
